fav_grp,popl_by_co_yn,reason,yr_listened,gender_pref,daily_MV_hr,daily_music_hr,watch_MV_yn,obsessed_yn,news_medium,pursuit,time_cons_yn,life_chg,pos_eff,yr_merch_spent,money_src,concert_yn,crazy_ev,age,country,job,gender,num_gr_like,bts_vs_others
bts,1,3,3.5,3,1,3,1,3,1,3,1,3,2,50,4,1,2,18,1,2,0,1,1
"vixx,super junior",1,3,3.5,3,1,3,1,3,3,1,2,3,1,50,2,2,0,24,1,2,0,2,0
"bts,exo,blackpink,day6,infinite",3,3,9,3,2.5,5,1,3,1,3,2,1,1,75,2,3,0,24,3,1,0,5,1
"exo,blackpink,monsta x,ikon,day6",3,3,1.5,3,4.5,5,1,3,3,3,2,0,0,50,4,3,0,18,1,2,0,5,0
monsta x,3,3,1.5,3,1,3,1,3,1,3,2,1,2,50,3,3,0,18,2,2,0,1,0
"b.a.p,stray kids,mamamoo",3,3,3.5,3,2.5,3,1,3,1,3,1,1,2,0,3,3,1,18,6,2,0,3,0
bts,3,3,4,3,1,5,1,3,1,3,2,4,1,50,3,3,0,12,1,2,0,1,1
bts,3,3,4,3,1,3,1,3,1,3,1,4,2,500,4,3,1,18,1,2,0,1,1
"bts,seventeen,stray kids",1,3,3.5,3,1,5,1,3,1,3,1,4,1,75,3,1,0,18,3,2,0,3,1
"bts,exo,blackpink,monsta x,too many to count",3,3,4,3,1,5,1,3,3,3,2,3,0,75,3,1,0,18,1,2,0,5,1
bts,1,3,3.5,3,2.5,5,1,3,2,1,1,1,1,50,3,3,0,18,1,2,0,1,1
bts,1,3,3.5,3,2.5,5,1,3,2,1,1,1,1,50,3,3,0,18,1,2,0,1,1
red velvet,3,3,1.5,3,3.5,5,1,3,1,3,1,1,2,150,4,1,0,18,2,2,0,1,0
ikon,1,3,3.5,3,2.5,3,1,3,1,3,2,3,2,50,2,1,2,18,1,2,0,1,0
stray kids,3,3,1.5,3,2.5,5,1,3,1,3,2,1,2,50,3,1,2,12,2,2,0,1,0
shinee,3,3,4,3,2.5,3,1,3,2,3,2,0,1,50,4,3,0,18,1,2,0,1,0
